district,county,current_per_adm,instruction_per_adm,prof_alg,prof_bio,prof_eng,prof_alg_dis,prof_alg_black
Blue Ridge SD,Susquehanna,20368.64,12932.13,39.4,54.2,64.8,28.6,NA
Elk Lake SD,Susquehanna,20536.11,13629.7,32.4,38.2,61.8,22.5,NA
Forest City Regional SD,Susquehanna,22017.64,14444.55,54.2,66,59.6,42.9,NA
Montrose Area SD,Susquehanna,23338.78,14592.37,61.3,66.7,81.7,50,NA
Mountain View SD,Susquehanna,24577.14,15566.53,65.2,75.8,77.3,57.6,NA
Susquehanna Community SD,Susquehanna,21858.46,13745.05,52.9,46.2,76.9,40,NA
Northern Tioga SD,Tioga,18285.77,11763.43,54.8,73.2,67.2,50,NA
Southern Tioga SD,Tioga,19824.87,12051.61,28.9,36.2,53.2,18.8,NA
Wellsboro Area SD,Tioga,18812.62,11746.28,49.5,48.6,67.6,40.8,NA
Lewisburg Area SD,Union,20625.24,13105.3,70.3,68.6,83.5,45.8,NA
Mifflinburg Area SD,Union,18435.79,11799.58,40.6,50.8,65.8,30.6,NA
Cranberry Area SD,Venango,17465.64,12046.87,53.2,56.3,67.2,29.6,NA
Franklin Area SD,Venango,20341.9,13463.37,61.4,53.5,65.6,48.2,NA
Oil City Area SD,Venango,18527.1,12030.56,40.9,48.4,51.2,30.3,NA
Titusville Area SD,Venango,19751.88,12095.52,53.7,45.4,63.4,44.3,NA
Valley Grove SD,Venango,18793.74,12149.31,59.6,50,80.3,39.3,NA
Warren County SD,Warren,20046.29,11829.14,48,52.5,68.7,30.7,NA
Avella Area SD,Washington,24029.03,14968.97,54.8,51.5,66.7,50,NA
Bentworth SD,Washington,17822.44,11283.91,47.3,55.4,72,39,NA
Bethlehem-Center SD,Washington,19533,12378.05,24.6,47,63.6,15.2,NA
Burgettstown Area SD,Washington,21375.77,14063.88,43.5,32.8,57.1,37.5,NA
California Area SD,Washington,17089.77,10377.23,23.9,28.4,47,14.8,NA
Canon-McMillan SD,Washington,16806.33,10052.1,57,64.7,75.9,35.5,7.1
Charleroi SD,Washington,18541.03,12023.99,28.6,34.5,57,31.3,NA
Chartiers-Houston SD,Washington,17232.1,10552.18,64.9,67.6,86.5,55.2,NA
Fort Cherry SD,Washington,22042.81,13329.77,39.6,52.2,67.7,27,NA
McGuffey SD,Washington,19484.47,11843.25,45.5,35.3,65.9,22.9,NA
Peters Township SD,Washington,17018.16,10921.18,78.4,81.6,89.1,60,NA
Ringgold SD,Washington,18231.19,11098.61,25.7,56.4,50,13.8,NA
Trinity Area SD,Washington,20008.88,11866.45,53.1,61.7,76.7,39.5,NA
Washington SD,Washington,18724.66,12349.93,14.7,18.6,25,14.7,8.7
Wayne Highlands SD,Wayne,24933.95,16346.34,72.2,79.4,85.1,64.6,NA
Western Wayne SD,Wayne,27715.77,16433.08,47.1,52.9,65.7,26.5,NA
Belle Vernon Area SD,Westmoreland,15876.2,10386.04,33.6,55.9,71.3,21.7,NA
Burrell SD,Westmoreland,18887.51,11833.5,18.4,35.1,51.1,10.4,NA
Derry Area SD,Westmoreland,18544.67,11667.11,14.4,44.4,75,18,NA
Franklin Regional SD,Westmoreland,18249.17,11751.66,67.6,58.7,78.6,45.5,NA
Greater Latrobe SD,Westmoreland,17252,11614.49,52.2,58,69.7,29.4,NA
Greensburg Salem SD,Westmoreland,18121.79,12264.88,45.6,48.6,55.2,28.8,23.5
Hempfield Area SD,Westmoreland,18870.66,13244.07,60.8,58.1,82,46.6,NA
Jeannette City SD,Westmoreland,20681.82,13764.22,48.1,25.9,58.5,45.5,NA
Kiski Area SD,Westmoreland,17933.46,11820.59,39.9,53,62.4,26.5,8.3
Ligonier Valley SD,Westmoreland,22757.5,13969.33,41.7,53.5,71.8,37.2,NA
Monessen City SD,Westmoreland,25399.22,17087.57,3.1,9.7,25.8,3.8,0
Mount Pleasant Area SD,Westmoreland,16471.57,10791.75,46,42.7,60.2,35.6,NA
New Kensington-Arnold SD,Westmoreland,20358.25,14345,9.6,19.1,30.9,9,3.8
Norwin SD,Westmoreland,15411.55,10088.31,63.9,70.1,85.3,51.6,NA
Penn-Trafford SD,Westmoreland,16178.68,10128.26,83.5,84.3,88.1,76.3,NA
Southmoreland SD,Westmoreland,17095.96,10919.82,19.2,39.8,52.8,11.9,NA
Yough SD,Westmoreland,18035.13,11107.79,40.3,32.6,51.1,32.3,NA
Lackawanna Trail SD,Wyoming,22732.41,15564.36,22.1,42.9,67.5,23.7,NA
Tunkhannock Area SD,Wyoming,23129.98,14739.08,27.6,57.5,53.4,13.8,NA
Central York SD,York,17463.53,11802.8,54.3,66.5,71.3,38.5,22.2
Dallastown Area SD,York,17672.03,12098.22,54.9,67.3,72,42.7,29.5
Dover Area SD,York,18369.54,12425.89,52.5,41.9,58.5,42.5,31.3
Eastern York SD,York,20468.36,13653.01,63.3,61.3,85.2,54,NA
Hanover Public SD,York,18348.86,12165.86,34.5,45.4,69.7,30.9,30.8
Northeastern York SD,York,17792.1,12092.39,61.8,61.5,70.9,42.1,47.4
Northern York County SD,York,16495.7,10152.96,31.3,50.4,70.4,25.9,NA
Red Lion Area SD,York,17206.22,11767.62,33.1,45.8,71.2,23.5,20
South Eastern SD,York,21189.45,13421.85,58.6,59.6,77.2,39.7,NA
South Western SD,York,17927.52,11821.9,65.8,55.1,58.4,50,56.3
Southern York County SD,York,19405.12,11552.18,33.1,67,77.7,26.8,NA
Spring Grove Area SD,York,18216.71,11205.34,51.3,58.9,78.7,37.3,NA
West Shore SD,York,17948.06,11980.03,50.4,50.4,67.1,36.3,21.7
West York Area SD,York,20843.69,13867.72,51.8,43.5,58.3,42.2,23.5
York City SD,York,20845.31,14618.22,11.4,13.9,39.1,10.1,4.5
York Suburban SD,York,19637.21,13606.49,61.9,63.2,82.6,45.9,40.9
