district,county,current_per_adm,instruction_per_adm,prof_alg,prof_bio,prof_eng
Northampton Area SD,Northampton,21233.75,13816.66,29.7,46.6,63.6
Pen Argyl Area SD,Northampton,20062.17,12333.66,38.7,48.3,60.8
Saucon Valley SD,Northampton,23047.56,15098.22,65.6,63.3,82
Wilson Area SD,Northampton,18135.8,11847.11,43.1,54.7,74.6
Line Mountain SD,Northumberland,20535.51,12405.78,42.6,58.9,72.7
Milton Area SD,Northumberland,19252.72,11859.23,54.9,39.7,63.7
Mount Carmel Area SD,Northumberland,14730.73,10204.56,33.6,29.6,50
Shamokin Area SD,Northumberland,14820.73,10601.68,28.1,29.1,48.7
Shikellamy SD,Northumberland,16114.83,11546.79,31.6,58,63.4
Warrior Run SD,Northumberland,17048.09,10372.63,21.8,56.3,54
Greenwood SD,Perry,20283.02,12630.18,62.2,79.6,87
Newport SD,Perry,21332.26,14093.76,49.2,41.5,56.1
Susquenita SD,Perry,18027.97,11661.51,28.6,43.4,55.6
West Perry SD,Perry,19106.03,12688.86,52,53.9,82.5
Philadelphia City SD,Philadelphia,21360.05,15695.5,25.6,32.3,51.9
Delaware Valley SD,Pike,20617.56,13366.92,71.5,78.1,92.6
Wallenpaupack Area SD,Pike,28731.34,18254.9,46.1,58.7,65.5
Austin Area SD,Potter,33952.42,20172.35,46.7,56.3,56.3
Coudersport Area SD,Potter,22150.22,14185.8,29.4,54,42.3
Galeton Area SD,Potter,24611.32,15861.23,20,45,65
Northern Potter SD,Potter,21295.07,13482.08,26.9,37,55.2
Oswayo Valley SD,Potter,24416.35,14943.37,67.9,51.7,69
Blue Mountain SD,Schuylkill,17829.13,11072.64,46.8,62.3,73.8
Mahanoy Area SD,Schuylkill,17380.74,10772.47,30.3,25,34.2
Minersville Area SD,Schuylkill,18080.36,12110.14,21.5,39.4,47.7
North Schuylkill SD,Schuylkill,15304.62,9703.29,39.1,33.3,61.9
Pine Grove Area SD,Schuylkill,16911.43,10485,59.4,50.5,60
Pottsville Area SD,Schuylkill,16586.12,11237.29,50.8,45.9,65.5
Saint Clair Area SD,Schuylkill,14783.49,10153.4,NA,NA,NA
Schuylkill Haven Area SD,Schuylkill,18717.25,11342.21,48.7,56.6,62.3
Shenandoah Valley SD,Schuylkill,17150.72,11527.86,36.2,33.3,30
Tamaqua Area SD,Schuylkill,16316.24,10614.1,66.1,41.7,66.2
Tri-Valley SD,Schuylkill,16300.4,9944.35,23.2,44.9,55.1
Williams Valley SD,Schuylkill,16288.15,10717.55,21,50,42.4
Midd-West SD,Snyder,NA,NA,49.6,65,70.2
Selinsgrove Area SD,Snyder,17805.57,11413.63,68,56.8,71.3
Berlin Brothersvalley SD,Somerset,16673.53,10624.93,44.4,69.6,60
Conemaugh Township Area SD,Somerset,16983.1,10193.39,58.7,54.8,73.3
Meyersdale Area SD,Somerset,20920.65,12667.13,40,43.3,56.7
North Star SD,Somerset,18286.24,11169.63,38.9,64.4,58.2
Rockwood Area SD,Somerset,22641.27,12435.67,44.9,56.4,74.5
Salisbury-Elk Lick SD,Somerset,24762.68,15089.8,33.3,33.3,45.5
Shade-Central City SD,Somerset,28495.69,18036.46,55,50,75
Shanksville-Stonycreek SD,Somerset,24767.66,14196.21,52.6,33.3,57.1
Somerset Area SD,Somerset,20195.32,12649.37,66.2,67.6,78.6
Turkeyfoot Valley Area SD,Somerset,23728.04,12389.9,36.4,27.3,54.5
Windber Area SD,Somerset,15286.69,9506.6,49.3,60.8,74.7
Sullivan County SD,Sullivan,27560.88,17517.38,59,55,61.5
Blue Ridge SD,Susquehanna,20368.64,12932.13,39.4,54.2,64.8
Elk Lake SD,Susquehanna,20536.11,13629.7,32.4,38.2,61.8
Forest City Regional SD,Susquehanna,22017.64,14444.55,54.2,66,59.6
Montrose Area SD,Susquehanna,23338.78,14592.37,61.3,66.7,81.7
Mountain View SD,Susquehanna,24577.14,15566.53,65.2,75.8,77.3
Susquehanna Community SD,Susquehanna,21858.46,13745.05,52.9,46.2,76.9
Northern Tioga SD,Tioga,18285.77,11763.43,54.8,73.2,67.2
Southern Tioga SD,Tioga,19824.87,12051.61,28.9,36.2,53.2
Wellsboro Area SD,Tioga,18812.62,11746.28,49.5,48.6,67.6
Lewisburg Area SD,Union,20625.24,13105.3,70.3,68.6,83.5
Mifflinburg Area SD,Union,18435.79,11799.58,40.6,50.8,65.8
Cranberry Area SD,Venango,17465.64,12046.87,53.2,56.3,67.2
Franklin Area SD,Venango,20341.9,13463.37,61.4,53.5,65.6
Oil City Area SD,Venango,18527.1,12030.56,40.9,48.4,51.2
Titusville Area SD,Venango,19751.88,12095.52,53.7,45.4,63.4
Valley Grove SD,Venango,18793.74,12149.31,59.6,50,80.3
Warren County SD,Warren,20046.29,11829.14,48,52.5,68.7
Avella Area SD,Washington,24029.03,14968.97,54.8,51.5,66.7
Bentworth SD,Washington,17822.44,11283.91,47.3,55.4,72
Bethlehem-Center SD,Washington,19533,12378.05,24.6,47,63.6
Burgettstown Area SD,Washington,21375.77,14063.88,43.5,32.8,57.1
California Area SD,Washington,17089.77,10377.23,23.9,28.4,47
Canon-McMillan SD,Washington,16806.33,10052.1,57,64.7,75.9
Charleroi SD,Washington,18541.03,12023.99,28.6,34.5,57
Chartiers-Houston SD,Washington,17232.1,10552.18,64.9,67.6,86.5
Fort Cherry SD,Washington,22042.81,13329.77,39.6,52.2,67.7
McGuffey SD,Washington,19484.47,11843.25,45.5,35.3,65.9
Peters Township SD,Washington,17018.16,10921.18,78.4,81.6,89.1
Ringgold SD,Washington,18231.19,11098.61,25.7,56.4,50
Trinity Area SD,Washington,20008.88,11866.45,53.1,61.7,76.7
Washington SD,Washington,18724.66,12349.93,14.7,18.6,25
Wayne Highlands SD,Wayne,24933.95,16346.34,72.2,79.4,85.1
Western Wayne SD,Wayne,27715.77,16433.08,47.1,52.9,65.7
Belle Vernon Area SD,Westmoreland,15876.2,10386.04,33.6,55.9,71.3
Burrell SD,Westmoreland,18887.51,11833.5,18.4,35.1,51.1
Derry Area SD,Westmoreland,18544.67,11667.11,14.4,44.4,75
Franklin Regional SD,Westmoreland,18249.17,11751.66,67.6,58.7,78.6
Greater Latrobe SD,Westmoreland,17252,11614.49,52.2,58,69.7
Greensburg Salem SD,Westmoreland,18121.79,12264.88,45.6,48.6,55.2
Hempfield Area SD,Westmoreland,18870.66,13244.07,60.8,58.1,82
Jeannette City SD,Westmoreland,20681.82,13764.22,48.1,25.9,58.5
Kiski Area SD,Westmoreland,17933.46,11820.59,39.9,53,62.4
Ligonier Valley SD,Westmoreland,22757.5,13969.33,41.7,53.5,71.8
Monessen City SD,Westmoreland,25399.22,17087.57,3.1,9.7,25.8
Mount Pleasant Area SD,Westmoreland,16471.57,10791.75,46,42.7,60.2
New Kensington-Arnold SD,Westmoreland,20358.25,14345,9.6,19.1,30.9
Norwin SD,Westmoreland,15411.55,10088.31,63.9,70.1,85.3
Penn-Trafford SD,Westmoreland,16178.68,10128.26,83.5,84.3,88.1
Southmoreland SD,Westmoreland,17095.96,10919.82,19.2,39.8,52.8
Yough SD,Westmoreland,18035.13,11107.79,40.3,32.6,51.1
Lackawanna Trail SD,Wyoming,22732.41,15564.36,22.1,42.9,67.5
Tunkhannock Area SD,Wyoming,23129.98,14739.08,27.6,57.5,53.4
Central York SD,York,17463.53,11802.8,54.3,66.5,71.3
Dallastown Area SD,York,17672.03,12098.22,54.9,67.3,72
Dover Area SD,York,18369.54,12425.89,52.5,41.9,58.5
Eastern York SD,York,20468.36,13653.01,63.3,61.3,85.2
Hanover Public SD,York,18348.86,12165.86,34.5,45.4,69.7
Northeastern York SD,York,17792.1,12092.39,61.8,61.5,70.9
Northern York County SD,York,16495.7,10152.96,31.3,50.4,70.4
Red Lion Area SD,York,17206.22,11767.62,33.1,45.8,71.2
South Eastern SD,York,21189.45,13421.85,58.6,59.6,77.2
South Western SD,York,17927.52,11821.9,65.8,55.1,58.4
Southern York County SD,York,19405.12,11552.18,33.1,67,77.7
Spring Grove Area SD,York,18216.71,11205.34,51.3,58.9,78.7
West Shore SD,York,17948.06,11980.03,50.4,50.4,67.1
West York Area SD,York,20843.69,13867.72,51.8,43.5,58.3
York City SD,York,20845.31,14618.22,11.4,13.9,39.1
York Suburban SD,York,19637.21,13606.49,61.9,63.2,82.6
